user_id,total_folder_selections,different_folders_used,days_active_selecting,most_used_folder
RO308749,11,4,2,Arbeidsvoorwaarden
RY909972,11,1,1,Scholing en diploma's
RS495174,11,3,2,Medewerker dossier
RY635477,11,8,1,Functies
RS437982,11,4,2,Verzuim
RO370143,11,3,1,02. Arbeidsvoorwaarden
RZ259363,11,8,1,Medewerker dossier
IC297234,11,6,1,Persoonsgegevens
RZ175616,11,7,1,Arbeidsvoorwaarden
RZ222445,11,5,1,Arbeidsovereenkomst
RY746287,11,3,1,Persoonlijk
RZ208880,11,3,1,Persoonlijk
RX764079,11,4,2,03. Gesprekscyclus
IC202706,11,3,1,Aanstelling en benoeming
RQ519773,11,5,1,Salaris
RO138022,11,8,1,Rechtspositie
RY689539,11,11,1,Verlof
RZ288047,11,2,2,Functiewaardering
RO985855,11,4,1,Dienstverbanden
RY967936,11,10,2,02.1 Arbeidsovereenkomst
RY232659,11,1,2,Medewerker dossier
RU123564,11,7,1,Oud dossier Heerlen (voor 2017)
RX939306,11,2,2,Dienstverband
RZ325210,11,3,1,Medewerker dossier
RY196970,11,2,1,Functionering
RY868178,11,3,2,05.3 Opleidingen
UA008029,11,3,1,Dienstongeval / Beroepsziekte
RZ215907,11,4,2,05.2 Persoonlijke ontwikkeling
RU123299,11,5,1,Arbeidsvoorwaarden
IC118451,11,4,1,Prullenbak
RQ702213,11,10,1,Verzuim/arbeidsongeschiktheid
RZ326872,11,9,1,Persoonlijk
RY634073,11,3,1,Dienstverband
RQ259044,11,7,2,Persoonlijk
RY701447,11,5,1,Functie en functioneren
RZ299807,11,8,1,Arbeidsvoorwaarden
RU402124,11,1,1,Medewerker dossier
RZ206569,11,2,2,Medewerker dossier
RY950644,11,9,1,Aanstellingsgegevens
RX353053,11,4,2,Arbo & Subsidie
RO777950,10,7,1,Functioneringsgesprekken en beoordelingen
IC244449,10,3,1,Medewerker dossier
RZ223631,10,1,2,Medewerker dossier
IC235023,10,3,1,Aanstelling
RP530657,10,4,2,Contracten
IC175786,10,3,2,Arbeidsvoorwaarden
RW912949,10,3,1,Verzuimhistorie
IC228022,10,8,1,Arbeidsvoorwaarden
RQ493499,10,9,1,Aanstelling
RX538974,10,9,1,Dienstverbanden
RP378961,10,8,2,Persoonlijk
RO389349,10,3,1,Arbeidsvoorwaarden
RY938150,10,9,2,02.1 Arbeidsovereenkomst
RZ259378,10,9,1,Personeelsdossier
RQ299005,10,5,1,Mobiliteit en loopbaanontwikkeling
RY189852,10,9,1,"1. Arbeidsovereenkomst, doorstroom en ontslag"
RZ285050,10,3,2,Medewerker dossier
RT418059,10,6,2,Arbeidsvoorwaarden
RV912849,10,3,1,Medewerker dossier
RZ319644,10,6,1,Persoonlijk
RW570866,10,5,1,Arbeidsvoorwaarden
RX635608,10,4,1,Arbeidsvoorwaarden
RZ172949,10,1,2,Medewerker dossier
RY496095,10,6,1,Persoonlijk
RO496362,10,4,1,Persoonsgegevens
RY984796,10,2,2,Arbeidsvoorwaarden
RZ307620,10,6,1,Persoonlijk
RX179315,10,2,2,Medewerker dossier
RY781292,10,7,1,Persoonlijk
RZ187031,10,3,1,Arbeidsvoorwaarden
IC268336,10,6,1,Persoonlijk
RY954779,10,6,1,Persoonsgegevens
RY506275,10,10,1,05.3 Opleidingen
RZ351577,10,5,1,Persoonlijke gegevens
RY1011319,10,6,1,Arbeidsvoorwaarden
RQ471426,10,1,1,Medewerker dossier
RW885639,10,6,1,Persoonlijk
RZ245000,10,6,2,Dienstverbanden
RU389639,10,3,1,Medewerker dossier
IC208321,10,10,1,Dienstongeval / Beroepsziekte
RO463032,10,7,1,Verlof
RZ289327,10,4,1,Secundaire arbeidsvoorwaarden
IC215398,10,4,2,2. Arbeidsvoorwaarden
RQ888420,10,6,1,Functiewaardering
RV594664,10,4,2,Ontwikkeling en Opleiding
IC238502,10,9,1,Dienstongeval / Beroepsziekte
RS432887,10,1,2,Medewerker dossier
RX522235,10,1,1,Loopbaan / opleidingen
UA000341,10,7,1,Loopbaan / personeelsontwikkeling
IC177117,10,3,2,Dienstverband
RX785627,10,4,1,Dienstverband
RX679747,10,7,1,Overeenkomsten
RX630721,10,3,1,Medewerker dossier
RX290308,10,8,1,Indicatie
RY1012075,10,4,1,Functionering
RU659329,10,8,1,Verzuim
RX264499,10,5,2,04 Beoordelen en functioneren
RP892619,10,2,1,Medewerker dossier
RO303147,10,3,1,Loopbaan / personeelsontwikkeling
RU110452,10,8,1,Salaris
RU465026,10,5,1,02 Loopbaan/arbeidsvoorwaarden
RY750391,10,1,1,Arbeidsovereenkomst
RX591271,10,7,1,Correspondentie
RZ272232,10,1,1,Medewerker dossier
RZ208821,10,7,1,Medewerker dossier
RZ278051,10,6,1,Arbeidsvoorwaarden
RY999261,10,6,1,Arbeidsvoorwaarden
RX763988,9,2,1,Aanstelling en Rechtspositie
RX593624,9,4,1,Arbeidsvoorwaarden
RS513928,9,6,1,Persoonlijk
IC209174,9,3,1,Inzetbaarheid
RY232043,9,5,1,Arbeidsovereenkomst
IC231642,9,6,1,Loopbaan
RV490726,9,2,2,Medewerker dossier
RZ313770,9,6,1,Verzekeringen
UA000238,9,6,1,Persoonlijk
RY853880,9,7,1,Arbeidsvoorwaarden
RQ491058,9,1,1,Medewerker dossier
IC236123,9,2,2,Medewerker dossier
RO858180,9,2,1,Medewerker dossier
RQ471216,9,6,1,Inzetbaarheid
RO732022,9,3,1,Arbeidsovereenkomst
RY649865,9,3,1,Arbeidsvoorwaarden
IC281686,9,3,2,Contracten/aov
RS998975,9,6,1,Arbeidsvoorwaarden
RQ134874,9,7,1,Salaris
RS820155,9,4,2,Arbeidsvoorwaarden
IC204755,9,7,1,Persoonlijk
RZ272887,9,3,2,Salaris
RZ269471,9,1,1,Medewerker dossier
