user_id,total_filters,different_fields_used,days_active_filtering,most_used_field
UA009740,6,2,2,medewerkerCode
RX816260,6,2,2,datumUitDienst
RZ278356,6,2,1,datumUitDienst
RP402069,6,2,1,medewerkerNaam
IC280409,6,2,1,medewerkerNaam
RX818534,6,2,2,medewerkerCode
RZ247172,6,2,1,medewerkerNaam
RY105969,6,2,2,datumUitDienst
RZ169911,6,2,1,medewerkerCode
RO580711,6,2,1,medewerkerNaam
RP482981,6,2,1,medewerkerCode
IC126466,6,2,1,datumUitDienst
IC128423,6,2,2,medewerkerCode
RV634686,6,2,2,datumUitDienst
RO523770,6,3,1,datumUitDienst
RW692397,6,2,2,medewerkerNaam
RY857089,6,2,2,datumUitDienst
RQ117748,6,2,1,medewerkerNaam
UA004116,6,2,1,medewerkerNaam
RX872850,6,2,2,medewerkerNaam
RT101173,6,2,2,datumUitDienst
RX430049,6,2,1,datumUitDienst
RZ261585,6,2,1,datumUitDienst
RY687189,6,2,1,datumUitDienst
IC263987,6,2,1,datumUitDienst
RY633391,6,2,2,datumUitDienst
RP663817,6,2,1,datumUitDienst
RX887694,6,2,1,datumUitDienst
IC233479,6,2,1,medewerkerCode
UA009630,6,2,2,medewerkerCode
IC290375,6,3,2,datumUitDienst
RY510292,6,2,1,medewerkerCode
RQ902831,6,3,2,datumUitDienst
RO974759,6,2,1,datumUitDienst
IC238734,6,2,1,medewerkerNaam
IC149153,6,2,1,datumUitDienst
RU419097,6,2,1,datumUitDienst
RY938151,6,2,1,datumUitDienst
RX170884,6,2,1,datumUitDienst
RY869068,6,2,1,datumUitDienst
IC230183,6,2,1,medewerkerNaam
UA009213,6,3,2,datumUitDienst
RX784893,6,2,1,datumUitDienst
RO858855,6,2,2,datumUitDienst
IC127456,6,2,1,datumUitDienst
RZ315791,6,2,2,medewerkerCode
RY984792,6,2,1,datumUitDienst
RZ327191,6,2,1,datumUitDienst
IC278792,6,2,2,datumUitDienst
IC231889,6,2,1,datumUitDienst
RY815065,6,3,1,datumUitDienst
RX764383,6,2,2,medewerkerNaam
RP378571,6,4,1,datumUitDienst
RY655694,6,2,1,medewerkerNaam
RY535701,6,2,1,medewerkerNaam
IC136229,6,2,2,datumUitDienst
RQ517195,6,2,2,medewerkerNaam
RY710255,6,2,2,medewerkerNaam
RS799697,6,3,1,datumUitDienst
IC242095,6,2,1,medewerkerNaam
IC271845,6,2,2,datumUitDienst
UA004623,6,2,2,medewerkerCode
